device_id,datekey,low_rpm_significant_hr,PercTimeSignificant,total_time_hr,usage_time_hr,Som van total_daily_fuel_ltr,PercTimeStationair
50019,20241120,0.666667,8.46%,8.9358333333,7.876389,142.5,19.15%
50019,20250701,0.693889,9.58%,7.2466666667,7.246667,84.5,32.45%
50019,20250721,0.701111,6.76%,10.3652777833,10.365278,240.5,11.88%
50019,20250723,0.713889,6.86%,10.4058333333,10.405833,225.5,10.47%
50019,20250604,0.718056,7.68%,9.3483333333,9.348333,185.5,15.36%
50019,20250210,0.718056,9.36%,9.5013888833,7.672778,130.5,12.94%
50019,20250605,0.734722,8.35%,9.0516666667,8.796944,0,14.96%
50019,20250214,0.74,10.35%,9.4102777833,7.148333,87,16.09%
50019,20240523,0.743333,10.56%,8.7116666667,7.036389,127.5,10.56%
50019,20250221,0.751944,10.10%,8.9622222167,7.442222,96.5,22.67%
50019,20240924,0.751944,10.16%,9.0022222167,7.398889,81.5,18.02%
50019,20250730,0.769167,8.00%,9.6097222167,9.609722,0,18.36%
50019,20240409,0.77,11.87%,10.3736111167,6.485278,115,14.34%
50019,20241023,0.776667,11.23%,8.3861111167,6.914167,104,12.96%
50019,20251101,0.782778,4.42%,18.3883333333,17.727778,297,9.43%
50019,20240306,0.783056,8.24%,10.8897222167,9.508333,193.5,11.10%
50019,20251030,0.786111,9.40%,9.4688888833,8.366667,120.5,17.98%
50019,20241104,0.786111,14.46%,8.82944445,5.435556,47,42.77%
50019,20250606,0.803056,9.37%,9.0808333333,8.572778,143.5,15.35%
50019,20250513,0.837222,4.93%,21.61944445,16.983056,269.5,9.68%
50019,20251029,0.853611,13.55%,8.2225,6.301667,70,25.48%
50019,20241213,0.854444,9.22%,9.2641666667,9.264167,173,13.47%
50019,20241211,0.860278,14.64%,8.93305555,5.8775,61.5,23.89%
50019,20250117,0.905833,12.02%,9.3372222167,7.538333,93,16.77%
50019,20250627,0.906111,11.32%,8.0061111167,8.006111,95.5,34.38%
50019,20230802,0.922222,5.26%,23.4186111167,17.540278,226.5,7.30%
50019,20240408,0.958056,14.88%,8.0375,6.440556,90.5,17.26%
50019,20250108,0.991111,12.75%,9.1177777833,7.776389,145.5,15.17%
50019,20250703,0.991667,13.22%,7.8066666667,7.498889,91,32.85%
50019,20250716,1.008333,11.30%,9.3672222167,8.922778,142.5,20.11%
50019,20250617,1.008333,17.48%,8.0066666667,5.766944,90.5,25.19%
50019,20250625,1.0425,15.78%,8.3177777833,6.608333,86,30.52%
50019,20250516,1.100278,17.62%,8.6236111167,6.245,44,34.38%
50019,20250806,1.111111,11.60%,9.5811111167,9.581111,173,20.16%
50019,20240812,1.127778,16.25%,8.1661111167,6.939167,75.5,26.84%
50019,20241219,1.161944,20.40%,7.5113888833,5.695833,82.5,34.21%
50019,20250819,1.1625,13.24%,8.7813888833,8.781389,167,19.09%
50019,20240517,1.1975,18.20%,8.1811111167,6.579167,87,18.20%
50019,20251023,1.264444,17.76%,9.3541666667,7.120278,77.5,20.88%
50019,20240219,1.274722,22.65%,8.2266666667,5.6275,46.5,23.10%
50019,20241128,1.331667,26.33%,7.7125,5.057778,57.5,39.18%
50019,20250521,1.350278,26.17%,7.6211111167,5.159167,36.5,35.04%
50019,20250528,1.378056,14.95%,9.5372222167,9.2175,156,20.33%
50019,20240305,1.401389,20.86%,10.39555555,6.7175,92,29.26%
50019,20250630,1.409444,20.67%,8.1722222167,6.820278,93.5,30.57%
50019,20250324,1.441944,22.82%,8.12055555,6.317778,47,33.65%
