nox_device_id,Pilot,MainGroupLabel,SubGroupLabel,name,BrandLabel,TypeOfEquipment,ConstructionYear,Power,EngineClassificationLabel,Machinegroep,TNO_fuel_per_hr,Cat_Vermogen_Seb,MachineId,equipment_id,device_id,datekey,CANBUS_device_id,FF_device_id,CANBUS_validated_duration,CANBUS_validated_fuel,CANBUS_AUB,FF_validated_duration,FF_validated_fuel,FF_AUB,countRows,FuelMassFlow,NOxTotal,C02Total,duration_from_rows,FF_NOxPerLiter,FF_NOxPerUur,FF_FPH,FF_motorbelasting,FF_Diff_AUB,FF_U,FF_A_equivalent,CANBUS_NOxPerLiter,CANBUS_NOxPerUur,CANBUS_FPH,CANBUS_motorbelasting,CANBUS_Diff_AUB,CANBUS_U,CANBUS_A_equivalent,NOxMAF_NOxPerLiter,NOxMAF_NOxPerUur,NOxMAF_FPH,NOxMAF_motorbelasting,NOxMAF_AUB_NoxEmission,NOxMAF_Diff_AUB,NOxMAF_A_equivalent,Belastingtype
60245,P. Vos,Mobiele graafmachine,Mobiele graafmachine 36-150 kW,,Caterpillar,MH3022,2020,129.4,Stage-IV,D,12.449480622180808,56 - 130 kW,650,555971,60245,20250512,51877,65696,7.25,112.5,0.64375,6.55,322.625,1.774925,25234,44.28623379377026,0.13648953772721534,116.32696916697967,7,0.000423059396287378,0.02083809736293364,49.255725,1.5225880989180833,-0.923101236543958,0.28817380000000004,0.07104011227379199,0.0012132403353530253,0.018826143134788323,15.517241,0.47966741885625963,-0.7879774171227723,0.28817380000000004,0.06980213453667217,0.0030819856654059237,0.01947223456342833,6.318080834053351,0.19530388976980992,0.27419288248635953,-0.5022134181983904,0.0667595519342762,dhi
299240,Reimert,Mobiele graafmachine,Mobiele graafmachine 36-150 kW,TKZ-71-T,Volvo,EW160E,2019,115.0,Stage-IV,D,11.202432261538394,56 - 130 kW,1614,299240,299240,20251208,,299240,,,,5.65,0.0,,29010,36.61004687919627,0.42911001516586,96.16387372992334,8,,0.07594867525059469,0.0,0.0,,0.22091500000000003,,,,,,,,,0.011721099854960924,0.05325046944149119,4.543129066420595,0.15802188057115113,0.2379859181476598,0.8030899412275987,0.04865100695440597,dhi
304892,VolkerStaal,Rupshijskraan,Draadkraan vakwerk rups,304-074,Liebherr,HS875HD,2005,605.0,Stage-II,X,64.24638801694636,> 560 kW,2610,304892,304892,20260205,,,,,,,,,12645,14.590993873671707,0.6403279745855428,38.3262686631294,3,,,,,,,,,,,,,,,0.04388515135634208,0.18229977924143567,4.154019608162764,0.0274645924506629,0.45529231621015115,0.40641067680567655,,fpi
68049,SOMA,Lader,Wiellader,,Volvo,L60H,2025,98.0,Stage-V,D,9.255532140820211,56 - 130 kW,2039,564354,68049,20251209,,,,,,,,,15147,16.462648435118204,0.3370968159000029,43.242557175593554,4,,,,,,,,,,,,,,,0.020476463263402155,0.080118078645277,3.912691250176638,0.1597016836806791,0.10993580154963845,2.066306072710956,0.030003107700910824,dtc
304983,Vogelzang,Tractor,Tractor 4x4,T-85-FBS,Fendt,724 Vario,2022,181.0,Stage-V,D,16.96917926705213,130 - 560 kW,2549,304983,304983,20260113,,304983,,,,0.0,0.5,,636,0.38125315778361835,0.01008278696975862,1.001440414572965,0,0.02016557393951724,,,,,0.0,,,,,,,,,0.026446435298723855,0.05707259444238632,2.158044885737031,0.04769159968479627,0.00294209705203154,2.4270749031872967,0.019283644909792765,dtc
69019,Ballast Nedam,Asfaltverdichting,Trilwals,0098,Bomag,BW213D-3,2007,99.0,Stage-IIIa,C,10.779671750516952,56 - 130 kW,2083,566234,69019,20260105,,69020,,,,0.1,1.171,0.008229,160,0.1370661427693942,0.002495191116449713,0.3600326240885956,0,0.0021308207655420263,0.024951911164497128,11.71,0.4731313131313132,-0.6967807611557039,0.0099,0.05064383634119906,,,,,,,,0.018204284924306414,0.05614236154373398,3.0840190525018945,0.12460683040411695,0.0011268565422780019,1.2142934995128556,0.018297774209355157,dhi
302135,Boskalis,Hydraulische rupsgraafmachine,Hydraulische rupsgraafmachine > 150 kW,H243,Caterpillar,352,2024,332.0,Stage-V,D,30.294190869734546,130 - 560 kW,2277,302135,302135,20251104,,302135,,,,8.9,284.0,1.5781,45321,440.1445169195936,0.3105569481073746,1156.1307716332071,12,0.0010935103806597698,0.034894039113188155,31.910112,0.3844591807228916,-0.8032083213311104,1.0046320000000002,0.06970256469605501,,,,,,,,0.0007055794998443833,0.02466858790386707,34.962166431008505,0.42123092085552416,2.4397262213658077,-0.8727082795652708,0.0705161570279318,"dhi, zwaar"
68221,SOMA,Grondwals,Trilwals,THH-59-V,Case,836C,2021,119.0,Stage-V,D,11.412677800506602,56 - 130 kW,1224,562364,68221,20251104,65509,68222,0.2,1.0,0.0064,0.25,1.579,0.009777,866,1.0693300746036525,0.01577302723619177,2.8088170061379505,0,0.009989250941223413,0.06309210894476708,6.316,0.21230252100840336,0.613278841791119,0.010115,0.05174432464659558,0.01577302723619177,0.07886513618095885,5.0,0.16806722689075632,1.4645355056549638,0.010115,0.03962385383436572,0.014750382141863957,0.0655693177701223,4.445262308426981,0.14942058179586493,0.006977157402859726,1.2606666763353918,0.042118284509574964,dhc
301448,Boskalis,Hydraulische rupsgraafmachine,Hydraulische rupsgraafmachine > 150 kW,H228,Volvo,EC350EL,2024,220.0,Stage-V,D,20.251017480331274,130 - 560 kW,2281,301448,301448,20260113,,301448,,,,8.4,153.0,0.8682,32071,238.47115564341058,0.16973196608824792,626.393901520858,8,0.0011093592554787446,0.020206186439077133,18.214285,0.3311688181818182,-0.8045013060490118,0.6283200000000001,0.0699242403227018,,,,,,,,0.0007117505076465123,0.01905257352557519,26.768612485539055,0.4867020451916192,1.3322872954744174,-0.8726010773616154,0.0705979030776236,"dhi, zwaar"
304702,Vogelzang,Mobiele graafmachine,Mobiele graafmachine 36-150 kW,T-58-DRL,Takeuchi,TB295W,2021,85.0,Stage-V,D,8.302881485840452,56 - 130 kW,2548,304702,304702,20260213,,,,,,,,,19773,31.455700536619283,0.1284118746818236,82.62491508058218,5,,,,,,,,,,,,,,,0.004082308532036423,0.023379494707660195,5.727027862834644,0.26950719354515973,0.19732328289774415,-0.3492310040859773,0.06476248840780531,dhi
